type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
C,500,2,4.0,2000,0.6174721211887534,0.784,0.5661103979460848
C,500,3,4.0,2000,0.6307727307970112,0.7431111111111111,0.5801526717557252
C,500,1,5.0,2500,0.6383489547934074,0.7137777777777777,0.5908756438557763
C,500,2,5.0,2500,0.6257553315337041,0.7662222222222222,0.5739014647137151
C,500,3,5.0,2500,0.5941141259681957,0.8462222222222222,0.5490196078431373
C,500,1,6.0,3000,0.6703647158608991,0.6924444444444444,0.6317923763179237
C,500,2,6.0,3000,0.6584989148538924,0.6844444444444444,0.6189710610932476
C,500,3,6.0,3000,0.6335154142700545,0.7911111111111111,0.5790500975927131
C,500,1,7.0,3500,0.6920618563524548,0.7084444444444444,0.6554276315789473
C,500,2,7.0,3500,0.6400065204034006,0.76,0.5872252747252747
C,500,3,7.0,3500,0.6737726334810691,0.7031111111111111,0.633306645316253
C,500,1,8.0,4000,0.6619971569380694,0.7111111111111111,0.6172839506172839
C,500,2,8.0,4000,0.6460373980806315,0.76,0.5929264909847434
C,500,3,8.0,4000,0.6423992180907838,0.7742222222222223,0.588116137744767
C,500,1,9.0,4500,0.6701360414236226,0.7422222222222222,0.6203566121842496
C,500,2,9.0,4500,0.6738996004957867,0.7155555555555555,0.6303837118245889
C,500,3,9.0,4500,0.6792840620776939,0.728,0.6339009287925697
C,500,1,10.0,5000,0.6867014970275549,0.7431111111111111,0.6391437308868502
C,500,2,10.0,5000,0.6637302755457108,0.768,0.609308885754584
C,500,3,10.0,5000,0.6976740952365449,0.7297777777777777,0.6562749800159872
B,1000,1,-1.0,1000,0.3448220686123912,0.9662222222222222,0.4631444397102684
B,1000,2,-1.0,1000,0.3522622718385959,0.9555555555555556,0.46296296296296297
B,1000,3,-1.0,1000,0.37131162813305035,0.9475555555555556,0.4665207877461707
A,1000,1,0.0,0,0.6327526987575071,0.6755555555555556,0.5905205905205905
A,1000,2,0.0,0,0.5954463580734307,0.76,0.5491329479768786
A,1000,3,0.0,0,0.5925408186088124,0.792,0.5469613259668509
C,1000,1,0.25,250,0.6446443724839277,0.6568888888888889,0.6082304526748972
C,1000,2,0.25,250,0.585542888816271,0.7786666666666666,0.5417439703153989
C,1000,3,0.25,250,0.618084695024673,0.7617777777777778,0.5675496688741721
C,1000,1,0.5,500,0.65126278399821,0.6924444444444444,0.60859375
C,1000,2,0.5,500,0.6515426220301321,0.68,0.6115107913669064
C,1000,3,0.5,500,0.6381516169534087,0.7244444444444444,0.589298626174982
C,1000,1,0.75,750,0.6339757375002903,0.6942222222222222,0.5889894419306184
C,1000,2,0.75,750,0.6592143779905726,0.6791111111111111,0.6211382113821138
C,1000,3,0.75,750,0.598694808145058,0.7857777777777778,0.5514660012476607
C,1000,1,1.0,1000,0.6652566478618901,0.6791111111111111,0.6288065843621399
C,1000,2,1.0,1000,0.6576311319210575,0.6808888888888889,0.6187399030694669
C,1000,3,1.0,1000,0.6218208566809548,0.7404444444444445,0.5721153846153846
C,1000,1,1.5,1500,0.6471789526315566,0.6968888888888889,0.6030769230769231
C,1000,2,1.5,1500,0.6730991326472511,0.688,0.6365131578947368
C,1000,3,1.5,1500,0.6224905209732796,0.7617777777777778,0.5713333333333334
C,1000,1,2.0,2000,0.6389108164892918,0.7004444444444444,0.5933734939759037
C,1000,2,2.0,2000,0.6508751376301045,0.6968888888888889,0.6072811773818745
C,1000,3,2.0,2000,0.6362073279016772,0.7164444444444444,0.5883211678832116
C,1000,1,3.0,3000,0.6839697303253646,0.7075555555555556,0.6450567260940032
C,1000,2,3.0,3000,0.6689456661038671,0.7084444444444444,0.6260801256873527
C,1000,3,3.0,3000,0.6714603299868201,0.7306666666666667,0.6241457858769932
C,1000,1,4.0,4000,0.6835024512598336,0.704,0.6454767726161369
C,1000,2,4.0,4000,0.6719968677010852,0.6933333333333334,0.6336311941510967
C,1000,3,4.0,4000,0.6926709850218925,0.72,0.6526994359387591
C,1000,1,5.0,5000,0.7026470065610549,0.7377777777777778,0.6603023070803501
C,1000,2,5.0,5000,0.6857236365177947,0.7164444444444444,0.6448
C,1000,3,5.0,5000,0.6878205415142378,0.7217777777777777,0.6459824980111376
C,1000,1,6.0,6000,0.6993522365506512,0.7342222222222222,0.6571201272871917
C,1000,2,6.0,6000,0.7100779357470899,0.7475555555555555,0.6669310071371927
C,1000,3,6.0,6000,0.7005924965136043,0.736,0.6581875993640699
C,1000,1,7.0,7000,0.6977954437588989,0.744,0.6523772408417771
C,1000,2,7.0,7000,0.7064564008490317,0.7573333333333333,0.6594427244582043
C,1000,3,7.0,7000,0.7224619313435103,0.7644444444444445,0.677698975571316
C,1000,1,8.0,8000,0.7097128209005344,0.7795555555555556,0.6574212893553223
C,1000,2,8.0,8000,0.6969933640857923,0.7502222222222222,0.6497305619707467
C,1000,3,8.0,8000,0.7130311827448483,0.7608888888888888,0.6666666666666666
C,1000,1,9.0,9000,0.7277822283597868,0.7662222222222222,0.6841269841269841
