type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
C,7500,2,0.25,1875,0.6553398058252428,0.6490384615384616,0.6617647058823529
C,7500,3,0.25,1875,0.6648510999504844,0.6346153846153846,0.6804123711340206
C,7500,1,0.5,3750,0.6649222065063649,0.6394230769230769,0.6785714285714286
C,7500,2,0.5,3750,0.6625239400100179,0.6394230769230769,0.6751269035532995
C,7500,3,0.5,3750,0.657716578579888,0.6394230769230769,0.6683417085427136
C,7500,1,0.75,5625,0.6721736619062494,0.6442307692307693,0.6871794871794872
C,7500,2,0.75,5625,0.6723127227737355,0.6586538461538461,0.681592039800995
C,7500,3,0.75,5625,0.6601621417797889,0.6442307692307693,0.67
C,7500,1,1.0,7500,0.674749617061388,0.6634615384615384,0.6831683168316832
C,7500,2,1.0,7500,0.6650406504065041,0.6634615384615384,0.6699029126213593
C,7500,3,1.0,7500,0.669895133733946,0.6682692307692307,0.6747572815533981
C,7500,1,1.5,11250,0.6596809213631645,0.6923076923076923,0.6545454545454545
C,7500,2,1.5,11250,0.6796041003888299,0.6682692307692307,0.6881188118811881
C,7500,3,1.5,11250,0.6819470225993693,0.6923076923076923,0.6824644549763034
C,7500,1,2.0,15000,0.6660414756086737,0.7259615384615384,0.6536796536796536
C,7500,2,2.0,15000,0.6819919985387611,0.6875,0.6842105263157895
C,7500,3,2.0,15000,0.6817219519386701,0.7067307692307693,0.6774193548387096
C,7500,1,3.0,22500,0.6860776241413324,0.7307692307692307,0.6755555555555556
C,7500,2,3.0,22500,0.6887262424743241,0.7259615384615384,0.6801801801801802
C,7500,3,3.0,22500,0.6816168099151128,0.7115384615384616,0.6757990867579908
C,7500,1,4.0,30000,0.6882625555660644,0.7403846153846154,0.6754385964912281
C,7500,2,4.0,30000,0.6853341858936786,0.75,0.6695278969957081
C,7500,3,4.0,30000,0.6848714832053601,0.7596153846153846,0.6666666666666666
C,7500,1,5.0,37500,0.6974248418658642,0.7644230769230769,0.6794871794871795
